Rang	Gruppe	Teamname	Kurzname	Spieldauer
1	Erwachsene	Erwachsene	E I	4
2	Erwachsene	Erwachsene II	E II	
3	Erwachsene	Erwachsene III	E III	
1	Damen	Damen	D I	
2	Damen	Damen II	D II	
1	Jugend 19	Jugend 19	J19 I	
1	Jugend 15	Jugend 15	J15 I	
4	Erwachsene	Erwachsene IV	E IV	
5	Erwachsene	Erwachsene V	E V	
6	Erwachsene	Erwachsene VI	E VI	
7	Erwachsene	Erwachsene VII	E VII	
8	Erwachsene	Erwachsene VIII	E VIII	
2	Jugend 19	Jugend 19 II	J19 II	
